delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
250.99,delhivery,automobile parts,bike,same day,west,clear,0.9996592844974448,0.947594677584442,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000008,no,delivered,3,1.0
250.99,xpressbees,cosmetics,ev van,express,central,cold,0.29301533219761494,0.9563971340839303,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000003,no,delivered,5,0.35425097843067493
250.99,shadowfax,groceries,truck,two day,east,rainy,0.9195911413969337,0.5367451381780962,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000016,no,delivered,4,0.8799321975322649
250.99,dhl,electronics,ev van,same day,east,cold,0.9066439522998296,0.24605936540429885,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,3,0.9049150673509543
250.99,dhl,clothing,van,two day,north,foggy,0.862350936967632,0.744114636642784,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000016,no,delivered,4,0.8450537691213289
250.99,amazon logistics,documents,ev bike,express,west,rainy,0.1526405451448041,0.6648925281473899,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000002,yes,delayed,3,0.19243484870920535
250.99,delhivery,groceries,scooter,same day,central,clear,0.6633730834752982,0.882702149437052,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000008,no,delivered,3,0.7333530160179229
250.99,xpressbees,fragile items,van,same day,north,cold,0.3781942078364565,0.8589559877175025,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000008,no,delivered,3,0.45881469815098136
250.99,blue dart,clothing,van,same day,south,hot,0.4729131175468484,0.27410440122824975,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,5,0.49348493598009485
250.99,delhivery,pharmacy,truck,same day,east,foggy,0.14821124361158433,0.5856704196519958,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000008,no,delivered,5,0.2131823413789451
250.99,fedex,groceries,scooter,same day,east,cold,0.9867120954003408,0.4376663254861822,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000008,no,delivered,4,0.9996287701687878
250.99,ecom express,electronics,truck,two day,east,cold,0.2616695059625213,0.9377686796315249,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000016,no,delivered,5,0.290017677982779
